"","target_vertical","target_horizontal","target_type","index","batter"
"523","middle","umpLeft","SL",1539,489267
"1095","middle","umpRight","CU",2126,434158
"3986","low","umpRight","SL",5185,453568
"2497","low","umpLeft","FA",3577,452254
"2035","middle","umpMiddle","SL",3080,430947
"1880","high","umpRight","CU",2916,506924
"2821","low","umpRight","SL",3923,457763
"2867","middle","umpLeft","SL",3970,572761
"3583","high","umpRight","CU",4715,460060
"2060","middle","umpLeft","SL",3105,500208
"3379","low","umpRight","SL",4508,608325
"1041","high","umpLeft","FA",2070,527038
"1593","middle","umpMiddle","FA",2625,455755
"976","high","umpRight","FA",2005,446359
"1675","high","umpLeft","FA",2711,592663
"2447","high","umpLeft","SL",3513,460026
"4196","middle","umpLeft","SL",5395,571841
"3976","middle","umpMiddle","FA",5175,518960
"1094","low","umpMiddle","SL",2125,434158
"2284","high","umpRight","FA",3332,455104
"1664","middle","umpLeft","SL",2700,588751
"2887","middle","umpLeft","SL",3990,451594
"1435","high","umpLeft","FA",2467,572191
"76","low","umpMiddle","FA",1076,445055
"2987","middle","umpMiddle","FA",4103,452657
"3270","low","umpMiddle","FA",4399,543706
"3864","high","umpLeft","FA",4998,641313
"1798","middle","umpMiddle","CU",2834,434636
"3162","low","umpMiddle","CU",4291,475582
"2741","low","umpRight","SL",3835,572863
"3552","middle","umpLeft","FA",4684,457727
"2739","high","umpRight","CU",3833,642162
"1673","high","umpLeft","FA",2709,543829
"326","low","umpMiddle","FA",1332,518692
"4170","middle","umpRight","CU",5369,520471
"3494","high","umpLeft","FA",4624,606132
"1135","high","umpMiddle","FA",2166,518692
"48","low","umpLeft","FA",1048,571976
"2218","middle","umpMiddle","FA",3266,605113
"2087","low","umpLeft","SL",3132,592669
"2495","low","umpRight","SL",3566,491676
"3236","low","umpMiddle","SL",4365,457706
"3994","low","umpRight","CU",5193,571448
"522","low","umpLeft","SL",1538,489267
"3241","middle","umpMiddle","FA",4370,547379
"2356","low","umpLeft","FA",3405,542881
"44","high","umpRight","CU",1044,461314
"2139","low","umpRight","FA",3184,453568
"4044","high","umpLeft","FA",5243,457763
"3907","middle","umpLeft","SL",5042,541645
"4314","low","umpLeft","SL",5516,453568
"1103","middle","umpMiddle","FA",2134,493316
"698","high","umpMiddle","SL",1714,475253
"3219","high","umpRight","FA",4348,429665
"1772","high","umpLeft","FA",2808,452254
"1401","high","umpRight","FA",2433,592273
"2107","middle","umpMiddle","SL",3152,518934
"185","high","umpLeft","FA",1187,434636
"2785","high","umpRight","FA",3880,456488
"2244","low","umpLeft","SL",3292,592273
"1455","high","umpRight","FA",2487,475582
"2430","middle","umpRight","FA",3488,460026
"2438","low","umpRight","FA",3496,453211
"133","high","umpRight","FA",1135,452254
"908","low","umpLeft","CU",1931,527043
"2606","high","umpLeft","FA",3698,596143
"3755","low","umpRight","FA",4889,518633
"2640","low","umpLeft","SL",3733,622534
"3683","high","umpMiddle","SL",4817,606466
"210","high","umpMiddle","FA",1212,453923
"4188","low","umpLeft","SL",5387,596748
"4221","high","umpLeft","FA",5420,491676
"484","low","umpLeft","SL",1499,453400
"399","high","umpLeft","SL",1414,543829
"815","middle","umpRight","FA",1831,431151
"692","low","umpLeft","SL",1708,429665
"4078","low","umpMiddle","SL",5277,607776
