"","target_vertical","target_horizontal","target_type","index","batter"
"2397","low","umpRight","FA",3447,457763
"2912","high","umpRight","CU",4016,649557
"2344","low","umpLeft","SL",3393,506924
"459","low","umpLeft","FA",1474,543829
"2704","low","umpRight","SL",3797,448602
"881","low","umpLeft","FA",1904,488862
"1155","low","umpLeft","SL",2187,611177
"1890","high","umpRight","FA",2926,518452
"1680","low","umpRight","CU",2716,445988
"2148","low","umpLeft","SL",3193,571448
"1500","low","umpLeft","SL",2532,467092
"1230","high","umpRight","SL",2262,457763
"165","middle","umpRight","FA",1167,452254
"2214","low","umpRight","FA",3262,592273
"16","high","umpRight","SL",1016,571976
"3473","low","umpRight","FA",4603,571448
"1551","low","umpMiddle","CU",2583,628356
"2381","low","umpRight","CU",3430,596115
"419","high","umpLeft","FA",1434,453400
"2191","middle","umpRight","FA",3237,506924
"1515","low","umpLeft","CU",2547,150029
"3591","low","umpLeft","CU",4723,488862
"1309","low","umpLeft","SL",2341,607776
"1690","low","umpLeft","SL",2726,542303
"52","middle","umpRight","CU",1052,493351
"2524","low","umpLeft","SL",3604,491676
"2801","low","umpLeft","FA",3901,605412
"1496","low","umpLeft","SL",2528,475582
"891","high","umpRight","FA",1914,405395
"3830","high","umpLeft","SL",4964,466320
"1709","low","umpRight","FA",2745,516770
"1863","low","umpRight","CU",2899,571448
"1002","low","umpLeft","SL",2031,553993
"4206","low","umpLeft","SL",5405,608384
"4210","low","umpRight","CU",5409,656555
"2612","low","umpRight","CU",3704,642707
"2671","low","umpRight","CU",3764,435622
"3192","low","umpLeft","FA",4321,502517
"64","low","umpLeft","SL",1064,425834
"1862","middle","umpRight","FA",2898,571448
"77","middle","umpRight","CU",1077,445055
"3616","low","umpLeft","SL",4748,572041
"3096","middle","umpMiddle","SL",4224,542583
"868","low","umpLeft","SL",1888,543213
"3237","low","umpLeft","SL",4366,457706
"3133","low","umpRight","SL",4262,543685
"3910","low","umpRight","SL",5045,541645
"571","middle","umpLeft","SL",1587,571976
"4328","high","umpLeft","FA",5530,435622
"2132","low","umpLeft","SL",3177,572863
"2807","high","umpMiddle","FA",3907,491676
"1512","low","umpRight","SL",2544,150029
"1379","low","umpLeft","SL",2411,630111
"3739","low","umpLeft","SL",4873,593528
"1958","low","umpLeft","CU",2994,605412
"4255","low","umpRight","CU",5454,491676
"2977","high","umpRight","CU",4093,608365
"1314","low","umpLeft","FA",2346,592620
"1994","low","umpLeft","SL",3036,457763
"336","low","umpLeft","FA",1343,453211
"526","low","umpRight","CU",1542,457789
"879","high","umpLeft","FA",1902,488862
"807","high","umpRight","CU",1823,446263
"3895","low","umpRight","CU",5030,641313
"3951","middle","umpMiddle","FA",5150,453568
"4267","middle","umpLeft","FA",5467,460026
"1545","low","umpLeft","SL",2577,501896
"1104","low","umpLeft","SL",2135,493316
"3605","high","umpLeft","FA",4737,457787
"289","low","umpMiddle","FA",1291,607776
"3888","middle","umpMiddle","SL",5023,570560
"2083","middle","umpMiddle","CU",3128,571976
"2766","high","umpLeft","CU",3861,605412
"2413","low","umpLeft","FA",3463,453211
"3985","low","umpRight","SL",5184,453568
"3724","low","umpLeft","FA",4858,518614
"3639","low","umpLeft","CU",4772,455104
"4232","low","umpRight","FA",5431,452254
"532","middle","umpLeft","SL",1548,445055
"2252","high","umpMiddle","CU",3300,605113
"369","high","umpRight","CU",1381,425796
"81","high","umpRight","SL",1081,519083
"145","high","umpLeft","FA",1147,605509
"589","middle","umpLeft","FA",1605,477165
"3909","high","umpLeft","FA",5044,541645
"3504","low","umpLeft","SL",4634,453568
"4021","low","umpRight","SL",5220,453568
"4064","low","umpRight","FA",5263,452254
"1260","middle","umpMiddle","FA",2292,622110
"3557","middle","umpMiddle","CU",4689,594777
"2583","high","umpMiddle","FA",3675,622534
"3539","middle","umpMiddle","FA",4670,455117
"1999","middle","umpLeft","SL",3041,457763
"1514","middle","umpMiddle","FA",2546,150029
"2691","high","umpLeft","FA",3784,453568
"137","low","umpRight","SL",1139,622110
"1735","middle","umpLeft","CU",2771,453056
"699","low","umpRight","SL",1715,453064
"2904","high","umpRight","FA",4007,425877
"367","high","umpLeft","FA",1379,425796
"163","high","umpRight","SL",1165,452254
"1407","low","umpRight","SL",2439,430001
"3641","high","umpRight","FA",4774,455104
"3872","middle","umpLeft","SL",5006,547989
"2569","low","umpRight","SL",3656,592669
"529","high","umpMiddle","FA",1545,445055
"1865","high","umpLeft","FA",2901,571448
"295","high","umpRight","FA",1297,593495
"970","middle","umpLeft","SL",1996,457574
"3287","middle","umpLeft","SL",4416,467793
"1299","high","umpLeft","FA",2331,622110
"3197","low","umpLeft","SL",4326,572191
"3941","low","umpRight","FA",5079,641319
"660","low","umpLeft","SL",1676,453064
"1447","high","umpRight","CU",2479,547180
"4274","low","umpMiddle","CU",5474,607776
"1938","high","umpLeft","SL",2974,467827
"2823","middle","umpLeft","FA",3925,434604
"88","high","umpMiddle","CU",1088,571976
"2865","low","umpRight","FA",3968,572761
"676","low","umpMiddle","SL",1692,489365
"2431","high","umpLeft","FA",3489,605412
"3896","low","umpRight","SL",5031,641313
"1034","high","umpLeft","FA",2063,501571
"678","low","umpLeft","SL",1694,489365
"161","high","umpRight","SL",1163,457763
"446","high","umpLeft","FA",1461,592663
"3594","low","umpLeft","SL",4726,488862
"2046","low","umpRight","CU",3091,622534
"2878","low","umpLeft","SL",3981,649557
"2568","low","umpLeft","SL",3655,592669
"4000","low","umpLeft","FA",5199,448602
"1773","low","umpRight","FA",2809,452254
"1290","low","umpLeft","SL",2322,605412
"1075","high","umpLeft","FA",2105,527038
"2220","low","umpRight","FA",3268,605113
"97","low","umpLeft","FA",1099,434636
"990","high","umpLeft","FA",2019,408252
"3829","high","umpLeft","FA",4963,466320
"1189","high","umpLeft","SL",2221,611177
"3681","low","umpRight","FA",4815,518614
"2908","low","umpLeft","CU",4012,425509
"4362","high","umpLeft","FA",5564,435622
"3580","low","umpMiddle","SL",4712,458913
"17","low","umpRight","CU",1017,571976
"578","low","umpLeft","SL",1594,493351
"4088","low","umpLeft","CU",5287,605412
"3870","high","umpRight","FA",5004,547989
"3592","low","umpLeft","SL",4724,488862
"3336","low","umpRight","FA",4465,518595
"4287","high","umpLeft","FA",5487,457763
"3839","high","umpLeft","CU",4973,541645
"3914","low","umpLeft","SL",5049,571602
"3980","high","umpLeft","FA",5179,453568
"2315","middle","umpMiddle","FA",3364,448602
"2669","middle","umpMiddle","FA",3762,448602
"3478","middle","umpLeft","SL",4608,448602
"952","low","umpRight","SL",1978,571740
"2744","high","umpRight","SL",3838,456488
"14","middle","umpLeft","SL",1013,571976
"2784","low","umpLeft","SL",3879,456488
"2952","low","umpLeft","FA",4061,452657
"2644","low","umpRight","FA",3737,622534
"503","low","umpLeft","SL",1518,571976
"3410","middle","umpLeft","FA",4539,527038
"3326","low","umpLeft","CU",4455,457803
"577","middle","umpLeft","FA",1593,519083
"1158","low","umpLeft","FA",2190,593495
"4323","high","umpMiddle","FA",5525,596115
"1412","low","umpRight","SL",2444,456078
"1543","middle","umpMiddle","SL",2575,501896
"3693","middle","umpRight","FA",4827,571681
"2732","low","umpLeft","SL",3826,471865
"4018","high","umpRight","FA",5217,453568
"1277","high","umpLeft","FA",2309,543063
"1788","low","umpRight","SL",2824,518516
"2424","low","umpLeft","FA",3482,543063
"3701","low","umpLeft","SL",4835,444482
"2096","low","umpRight","FA",3141,595978
"2044","low","umpMiddle","FA",3089,622534
"1348","low","umpLeft","SL",2380,456078
"4311","high","umpMiddle","FA",5513,453568
"854","high","umpMiddle","FA",1874,545361
"4013","low","umpMiddle","FA",5212,518960
"1179","low","umpLeft","FA",2211,455976
"1605","low","umpLeft","SL",2637,457705
"2179","low","umpMiddle","SL",3224,518934
"2750","middle","umpMiddle","FA",3844,448605
"1785","high","umpLeft","FA",2821,474832
"3967","low","umpMiddle","SL",5166,596115
"1781","high","umpRight","FA",2817,474832
"3731","low","umpLeft","SL",4865,593527
"1322","low","umpLeft","CU",2354,623143
"1991","high","umpLeft","FA",3033,474832
"293","middle","umpMiddle","FA",1295,430947
"1316","low","umpLeft","CU",2348,592620
"1036","low","umpMiddle","CU",2065,501571
"927","high","umpLeft","SL",1950,458015
"1825","high","umpRight","FA",2861,474832
"644","high","umpRight","FA",1660,607680
"4130","middle","umpLeft","FA",5329,520471
"3866","middle","umpMiddle","FA",5000,547989
"801","low","umpMiddle","FA",1817,608700
"3201","low","umpLeft","SL",4330,446653
"2728","low","umpMiddle","CU",3822,435622
"2879","middle","umpRight","SL",3982,649557
"514","high","umpLeft","FA",1529,519083
"2505","low","umpRight","CU",3585,457763
"249","low","umpRight","CU",1251,434636
"2585","middle","umpLeft","FA",3677,605486
"2580","low","umpLeft","SL",3667,596143
"2926","low","umpLeft","FA",4030,595879
"841","low","umpLeft","FA",1861,463610
"3014","low","umpMiddle","SL",4135,546991
"4083","low","umpLeft","CU",5282,491676
"2599","high","umpLeft","SL",3691,595978
"115","high","umpLeft","SL",1117,605509
"3299","high","umpLeft","CU",4428,547379
"1665","low","umpLeft","FA",2701,588751
"1458","high","umpRight","FA",2490,467092
"1232","high","umpLeft","SL",2264,474832
"2385","low","umpRight","CU",3434,572863
"2892","low","umpLeft","FA",3995,572039
"2176","high","umpRight","SL",3221,453568
"1343","high","umpMiddle","FA",2375,502671
"777","high","umpMiddle","FA",1793,457477
"2860","middle","umpLeft","FA",3963,458681
"2620","high","umpRight","CU",3712,571976
"3087","middle","umpRight","CU",4215,542979
"872","low","umpLeft","FA",1892,453203
"3449","low","umpLeft","SL",4578,435622
"1003","low","umpLeft","SL",2032,553993
"3325","high","umpRight","FA",4454,457803
"201","middle","umpMiddle","FA",1203,622110
"1947","middle","umpLeft","FA",2983,457763
"1298","middle","umpLeft","FA",2330,622110
"4087","middle","umpLeft","CU",5286,605412
"527","low","umpLeft","FA",1543,457789
"3390","middle","umpRight","CU",4519,624424
"1774","low","umpLeft","SL",2810,452254
"3052","low","umpRight","CU",4178,542583
"693","low","umpRight","FA",1709,429665
"3537","low","umpMiddle","FA",4668,527043
"197","low","umpLeft","CU",1199,474832
"1923","low","umpLeft","SL",2959,547172
"1830","low","umpMiddle","SL",2866,518516
"2827","low","umpRight","SL",3929,451594
"3661","high","umpLeft","CU",4795,502671
"189","low","umpLeft","SL",1191,605412
"4318","high","umpRight","FA",5520,571448
"2167","low","umpRight","FA",3212,572863
"2614","low","umpRight","CU",3706,622534
"26","middle","umpLeft","FA",1026,425834
"3103","low","umpMiddle","CU",4231,541650
"98","middle","umpLeft","FA",1100,434636
"3750","middle","umpMiddle","CU",4884,624585
"2674","middle","umpRight","FA",3767,471865
"85","low","umpRight","CU",1085,461314
"810","high","umpLeft","FA",1826,434158
"2814","low","umpLeft","FA",3914,460026
"29","low","umpMiddle","FA",1029,605486
"383","low","umpLeft","CU",1398,593495
"1265","low","umpMiddle","FA",2297,457763
"1548","low","umpLeft","SL",2580,457705
"2312","low","umpLeft","SL",3361,448602
"2780","low","umpMiddle","CU",3875,456501
"2332","low","umpLeft","FA",3381,518934
"974","high","umpRight","CU",2000,571466
"2072","low","umpRight","CU",3117,430947
"3763","low","umpLeft","FA",4897,593527
"2095","middle","umpRight","CU",3140,595978
"2623","low","umpMiddle","SL",3715,571976
"1983","middle","umpMiddle","SL",3022,605412
"3883","high","umpLeft","FA",5018,573135
"2264","low","umpLeft","FA",3312,572008
