"","target_vertical","target_horizontal","target_type","index","batter"
"2582","low","umpMiddle","FA",3669,596143
"2589","low","umpLeft","FA",3681,571976
"2590","low","umpLeft","SL",3682,571976
"2607","low","umpMiddle","CU",3699,596143
"2616","low","umpRight","SL",3708,622534
"2621","high","umpMiddle","FA",3713,571976
"2632","low","umpRight","FA",3725,518466
"2647","low","umpLeft","SL",3740,605486
"2663","high","umpRight","FA",3756,571448
"2666","low","umpMiddle","FA",3759,571448
"2668","low","umpLeft","SL",3761,448602
"2678","high","umpLeft","FA",3771,642162
"2679","low","umpMiddle","CU",3772,642162
"2692","middle","umpMiddle","SL",3785,453568
"2693","low","umpMiddle","FA",3786,453568
"2694","low","umpRight","FA",3787,453568
"2700","low","umpRight","SL",3793,571448
"2702","high","umpRight","CU",3795,448602
"2715","low","umpRight","FA",3808,572863
"2720","low","umpLeft","FA",3813,453568
"2727","middle","umpMiddle","FA",3821,448602
"2729","low","umpRight","FA",3823,435622
"2733","low","umpLeft","CU",3827,471865
"2736","high","umpRight","FA",3830,642162
"2749","high","umpLeft","SL",3843,448605
"2763","low","umpLeft","CU",3858,607776
"2777","low","umpLeft","FA",3872,491676
"2783","low","umpRight","FA",3878,456488
"2797","low","umpRight","SL",3897,607776
"2808","low","umpRight","CU",3908,491676
"2813","middle","umpLeft","FA",3913,460026
"2818","high","umpMiddle","FA",3918,448605
"2820","low","umpRight","FA",3922,457763
"2822","low","umpLeft","FA",3924,434604
"2824","low","umpLeft","FA",3926,451594
"2828","middle","umpMiddle","SL",3930,451594
"2832","low","umpLeft","SL",3934,572761
"2843","low","umpRight","SL",3946,425509
"2851","low","umpMiddle","SL",3954,649557
"2857","low","umpLeft","FA",3960,545341
"2859","low","umpLeft","FA",3962,458681
"2870","low","umpLeft","SL",3973,576397
"2871","low","umpLeft","SL",3974,576397
"2874","low","umpLeft","SL",3977,425877
"2882","high","umpLeft","CU",3985,545341
"2889","low","umpLeft","FA",3992,451594
"2893","low","umpRight","SL",3996,572039
"2898","low","umpLeft","SL",4001,572761
"2903","high","umpMiddle","FA",4006,576397
"2910","low","umpMiddle","CU",4014,425509
"2917","low","umpLeft","SL",4021,649557
"2921","low","umpLeft","SL",4025,451594
"2924","low","umpRight","SL",4028,572039
"2931","middle","umpRight","FA",4035,519203
"2936","middle","umpMiddle","FA",4045,518792
"2946","middle","umpLeft","FA",4055,575929
"2949","low","umpMiddle","SL",4058,608365
"2951","high","umpMiddle","FA",4060,452657
"2954","low","umpLeft","SL",4063,595879
"2983","low","umpLeft","FA",4099,546991
"2993","high","umpLeft","FA",4109,592178
"2995","low","umpLeft","SL",4111,592178
"2996","middle","umpRight","SL",4112,592178
"3000","low","umpMiddle","FA",4116,519203
"3003","low","umpLeft","FA",4124,518792
"3005","low","umpLeft","CU",4126,575929
"3011","low","umpRight","FA",4132,546991
"3012","low","umpLeft","SL",4133,546991
"3017","low","umpLeft","FA",4140,519346
"3034","middle","umpLeft","CU",4157,444489
"3037","high","umpRight","FA",4161,542340
"3038","low","umpLeft","FA",4162,606115
"3069","low","umpRight","FA",4196,444489
"3100","low","umpRight","FA",4228,541650
"3106","low","umpRight","SL",4234,444489
"3117","low","umpRight","CU",4246,430605
"3118","low","umpLeft","SL",4247,430605
"3128","low","umpLeft","FA",4257,543685
"3139","middle","umpLeft","FA",4268,572191
"3147","low","umpRight","SL",4276,544931
"3148","middle","umpLeft","CU",4277,544931
"3149","low","umpLeft","FA",4278,544931
"3151","low","umpLeft","FA",4280,544931
"3152","low","umpMiddle","FA",4281,607208
"3153","low","umpMiddle","CU",4282,607208
"3154","low","umpRight","FA",4283,607208
"3157","high","umpLeft","FA",4286,430605
"3158","low","umpLeft","SL",4287,547180
"3159","low","umpLeft","SL",4288,547180
"3160","high","umpMiddle","CU",4289,547180
"3186","high","umpLeft","SL",4315,430605
"3189","low","umpLeft","SL",4318,475582
"3191","low","umpLeft","CU",4320,502517
"3195","low","umpRight","SL",4324,543685
"3207","low","umpRight","FA",4336,594694
"3210","high","umpMiddle","FA",4339,543401
